"","iteraciones","distancia","masa"
"2833",33,0.0146311572063,"59"
"2834",34,0.0161138141825225,"105"
"2835",35,0.0169267315125872,"86"
"2836",36,0.00882338673942198,"24"
"2837",37,0.00620463090298259,"16"
"2838",38,0.00327869737204271,"9"
"2839",39,0.0130809721340786,"50"
"2840",40,0.00532874268893817,"17"
"2841",41,0.0115836056697624,"33"
"2842",42,0.0124288458384396,"46"
"2843",43,0.00438501889923774,"12"
"2844",44,0.0212946672496831,"119"
"2845",45,0.0163458144618543,"83"
"2846",46,0.0126383137347277,"41"
"2847",47,0.0126231714185907,"63"
"2848",48,0.0188409703118529,"118"
"2849",49,0.0126262446980337,"46"
"2850",50,0.00807516328836716,"28"
"2851",1,0.0131108407032086,"20"
"2852",2,0.00221064337652283,"5"
"2853",3,0.0151965306972078,"41"
"2854",4,0.00660667675153326,"21"
"2855",5,0.012813677463916,"23"
"2856",6,0.00769976690993931,"14"
"2857",7,0.0117576258385013,"13"
"2858",8,0.0145149178757403,"36"
"2859",9,0.0142700469935708,"34"
"2860",10,0.013797688183382,"30"
"2861",11,0.0168217069707843,"81"
"2862",12,0.0049995196282368,"13"
"2863",13,0.0139404240056708,"59"
"2864",14,0.0164864809000253,"69"
"2865",15,0.0161190777275542,"75"
"2866",16,0.0151280050433854,"41"
"2867",17,0.0128514655664048,"43"
"2868",18,0.0202567147378072,"98"
"2869",19,0.0157979436511128,"54"
"2870",20,0.0131620314810236,"39"
"2871",21,0.0156715823483589,"48"
"2872",22,0.0165108580286624,"75"
"2873",23,0.0158117199115058,"54"
"2874",24,0.0135133325274445,"27"
"2875",25,0.0188157072583748,"101"
"2876",26,0.0159195615276054,"59"
"2877",27,0.0168892578130547,"83"
"2878",28,0.00596665400450287,"21"
"2879",29,0.0100574859876225,"8"
"2880",30,0.0201936993326485,"121"
"2881",31,0.0134819853201408,"21"
"2882",32,0.0198824802713042,"95"
"2883",33,0.015915082960888,"59"
"2884",34,0.0208082308462271,"105"
"2885",35,0.0171816854123947,"86"
"2886",36,0.0136358450940466,"24"
"2887",37,0.012457705087299,"16"
"2888",38,0.00492146694660199,"9"
"2889",39,0.0157107215975123,"50"
"2890",40,0.0114638267910364,"17"
"2891",41,0.013582235066012,"33"
"2892",42,0.0155860764873029,"46"
"2893",43,0.0100566675052246,"12"
"2894",44,0.0180374844017945,"119"
"2895",45,0.0179293184064052,"83"
"2896",46,0.0129662077979297,"41"
"2897",47,0.0162619357165842,"63"
"2898",48,0.0178414011620075,"118"
"2899",49,0.0128009636091529,"46"
"2900",50,0.0135437943031717,"28"
"2901",1,0.00716975646000513,"20"
"2902",2,0.00181116162761791,"5"
"2903",3,0.0114339958676659,"41"
"2904",4,0.00527343105491384,"21"
"2905",5,0.0069141033498101,"23"
"2906",6,0.00562413121987182,"14"
"2907",7,0.00541711443906326,"13"
"2908",8,0.0100836921502622,"36"
"2909",9,0.00952684163364692,"34"
"2910",10,0.0111609100512438,"30"
"2911",11,0.0178111237274849,"81"
"2912",12,0.00397050086961851,"13"
"2913",13,0.0144436623078532,"59"
"2914",14,0.0155771829851059,"69"
"2915",15,0.0165653364317534,"75"
"2916",16,0.0112887255520417,"41"
"2917",17,0.013148897977372,"43"
"2918",18,0.0163496700535188,"98"
"2919",19,0.0144429961586419,"54"
"2920",20,0.0129747865155225,"39"
"2921",21,0.0132771462425218,"48"
"2922",22,0.0174328961848124,"75"
"2923",23,0.0145417230241091,"54"
"2924",24,0.00799703787314097,"27"
"2925",25,0.0207934358148198,"101"
"2926",26,0.0153095831253762,"59"
"2927",27,0.0177309576912892,"83"
"2928",28,0.00565325398185764,"21"
"2929",29,0.00591202109393115,"8"
"2930",30,0.019330519154741,"121"
"2931",31,0.00814609921237626,"21"
"2932",32,0.0163832990908633,"95"
"2933",33,0.0152866432111884,"59"
"2934",34,0.016486051452601,"105"
"2935",35,0.0174084122908578,"86"
"2936",36,0.00860123710809024,"24"
"2937",37,0.00608955745107467,"16"
"2938",38,0.00365839613935245,"9"
"2939",39,0.0135635607186182,"50"
"2940",40,0.00530473140626697,"17"
"2941",41,0.0118686526754282,"33"
"2942",42,0.0127645941745308,"46"
"2943",43,0.00427912523179628,"12"
"2944",44,0.0236821137030648,"119"
"2945",45,0.0183605072922092,"83"
"2946",46,0.0131740841877577,"41"
"2947",47,0.0138420704141781,"63"
"2948",48,0.0208012621636857,"118"
"2949",49,0.013127803616874,"46"
"2950",50,0.00804780412733388,"28"
"2951",1,0.0110187209967072,"20"
"2952",2,0.00276886125830967,"5"
"2953",3,0.0148527064718691,"41"
"2954",4,0.00815450220895644,"21"
"2955",5,0.00599623731358077,"23"
"2956",6,0.0091765559816779,"14"
"2957",7,0.0091328838807653,"13"
"2958",8,0.0123846768040015,"36"
"2959",9,0.0109202638337681,"34"
"2960",10,0.0131577369759047,"30"
"2961",11,0.0214583450670745,"81"
"2962",12,0.00592764663334106,"13"
"2963",13,0.0162419543513777,"59"
"2964",14,0.0174169392687182,"69"
"2965",15,0.0187579208741331,"75"
"2966",16,0.0146362960837489,"41"
"2967",17,0.0140692373363463,"43"
"2968",18,0.0160484270569893,"98"
"2969",19,0.0183967321542185,"54"
"2970",20,0.0136929220521052,"39"
"2971",21,0.0172062499078277,"48"
"2972",22,0.0210100817211834,"75"
"2973",23,0.0184940602243298,"54"
"2974",24,0.0071841573948077,"27"
"2975",25,0.0225382333015423,"101"
"2976",26,0.0192226416370522,"59"
"2977",27,0.0215936834004292,"83"
"2978",28,0.00773789635469887,"21"
"2979",29,0.00957986852954232,"8"
"2980",30,0.0212290269197007,"121"
"2981",31,0.0119539465827958,"21"
"2982",32,0.0163039055954719,"95"
"2983",33,0.0191976872169037,"59"
"2984",34,0.016021921985493,"105"
"2985",35,0.0199950130405888,"86"
"2986",36,0.0120904181629492,"24"
"2987",37,0.00982663025165406,"16"
"2988",38,0.0062589587338594,"9"
"2989",39,0.0174946969276993,"50"
"2990",40,0.00499024842408875,"17"
"2991",41,0.0133353427673893,"33"
"2992",42,0.016593321199504,"46"
"2993",43,0.00401526311713814,"12"
"2994",44,0.023591242274277,"119"
"2995",45,0.0197818823294326,"83"
"2996",46,0.0139004168487541,"41"
"2997",47,0.0141691384360849,"63"
"2998",48,0.0223119328166801,"118"
"2999",49,0.0143358724822509,"46"
