"","k","Tiempos","Tipo"
"122",20000,0.691039085388184,"NoParalelo"
"123",20000,0.61403489112854,"NoParalelo"
"124",20000,0.696040153503418,"NoParalelo"
"125",20000,0.687038898468018,"NoParalelo"
"126",20000,0.61403489112854,"NoParalelo"
"127",20000,0.699040174484253,"NoParalelo"
"128",20000,0.692039966583252,"NoParalelo"
"129",20000,0.628036022186279,"NoParalelo"
"130",20000,0.693039894104004,"NoParalelo"
"131",20000,0.688039064407349,"NoParalelo"
"132",20000,0.696039915084839,"NoParalelo"
"133",20000,0.611035108566284,"NoParalelo"
"134",20000,0.699039936065674,"NoParalelo"
"135",20000,0.690039157867432,"NoParalelo"
"136",20000,0.611034870147705,"NoParalelo"
"137",20000,0.6910400390625,"NoParalelo"
"138",20000,0.688039064407349,"NoParalelo"
"139",20000,0.690040111541748,"NoParalelo"
"140",20000,0.61403489112854,"NoParalelo"
"141",20000,0.695040225982666,"NoParalelo"
"142",20000,0.694038867950439,"NoParalelo"
"143",20000,0.616036176681519,"NoParalelo"
"144",20000,0.694038867950439,"NoParalelo"
"145",20000,0.686038970947266,"NoParalelo"
"146",20000,0.62003493309021,"NoParalelo"
"147",20000,0.694040060043335,"NoParalelo"
"148",20000,0.701040029525757,"NoParalelo"
"149",20000,0.695039987564087,"NoParalelo"
"150",20000,0.616034984588623,"NoParalelo"
"151",20000,0.696039915084839,"NoParalelo"
"152",20000,0.696038961410522,"NoParalelo"
"153",20000,0.620036125183105,"NoParalelo"
"154",20000,0.698040008544922,"NoParalelo"
"155",20000,0.693038940429688,"NoParalelo"
"156",20000,0.6910400390625,"NoParalelo"
"157",20000,0.612035036087036,"NoParalelo"
"158",20000,0.691039800643921,"NoParalelo"
"159",20000,0.698040008544922,"NoParalelo"
"160",20000,0.617034912109375,"NoParalelo"
"161",20000,0.692040205001831,"NoParalelo"
"162",20000,0.695038795471191,"NoParalelo"
"163",20000,0.614035129547119,"NoParalelo"
"164",20000,0.687040090560913,"NoParalelo"
"165",20000,0.694040060043335,"NoParalelo"
"166",20000,0.693038940429688,"NoParalelo"
"167",20000,0.614035129547119,"NoParalelo"
"168",20000,0.694040060043335,"NoParalelo"
"169",20000,0.694040060043335,"NoParalelo"
"170",20000,0.616034984588623,"NoParalelo"
"171",20000,0.697039842605591,"NoParalelo"
"172",20000,0.689038991928101,"NoParalelo"
"173",20000,0.687040090560913,"NoParalelo"
"174",20000,0.619035005569458,"NoParalelo"
"175",20000,0.693039894104004,"NoParalelo"
"176",20000,0.69704008102417,"NoParalelo"
"177",20000,0.617034912109375,"NoParalelo"
"178",20000,0.693040132522583,"NoParalelo"
"179",20000,0.689038991928101,"NoParalelo"
"180",20000,0.613034963607788,"NoParalelo"
"181",20000,0.702039957046509,"NoParalelo"
"182",20000,0.697039842605591,"NoParalelo"
"183",20000,0.69704008102417,"NoParalelo"
"184",20000,0.622035980224609,"NoParalelo"
"185",20000,0.698040008544922,"NoParalelo"
"186",20000,0.68903923034668,"NoParalelo"
"187",20000,0.615034818649292,"NoParalelo"
"188",20000,0.696040153503418,"NoParalelo"
"189",20000,0.692039966583252,"NoParalelo"
"190",20000,0.688039064407349,"NoParalelo"
"191",20000,0.61403489112854,"NoParalelo"
"192",20000,0.693039894104004,"NoParalelo"
"193",20000,0.688039064407349,"NoParalelo"
"194",20000,0.610034942626953,"NoParalelo"
"195",20000,0.694040060043335,"NoParalelo"
"196",20000,0.692039012908936,"NoParalelo"
"197",20000,0.617035865783691,"NoParalelo"
