"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96"
"V14",700,1,41,3,700,2,24,1,700,3,26,1,700,4,40,0,700,5,27,0,700,6,86,0,700,7,60,0,700,8,51,0,200,1,10,11,200,2,13,2,200,3,26,0,200,4,26,0,200,5,23,0,200,6,35,0,200,7,28,0,200,8,42,0,500,1,34,25,500,2,28,1,500,3,55,2,500,4,37,0,500,5,54,0,500,6,86,0,500,7,53,0,500,8,66,0
"V15",700,1,26,28,700,2,55,4,700,3,35,0,700,4,35,1,700,5,83,0,700,6,45,0,700,7,66,0,700,8,48,0,200,1,11,19,200,2,17,1,200,3,23,0,200,4,31,0,200,5,33,0,200,6,30,0,200,7,44,0,200,8,39,0,500,1,31,5,500,2,26,0,500,3,42,2,500,4,42,0,500,5,42,0,500,6,63,0,500,7,32,0,500,8,67,0
"V16",700,1,37,42,700,2,28,4,700,3,26,0,700,4,58,1,700,5,64,0,700,6,59,0,700,7,59,0,700,8,66,0,200,1,11,10,200,2,18,8,200,3,22,0,200,4,22,0,200,5,25,0,200,6,27,0,200,7,31,0,200,8,33,0,500,1,36,12,500,2,23,1,500,3,57,1,500,4,59,0,500,5,49,0,500,6,50,0,500,7,56,0,500,8,63,0
"V17",700,1,59,6,700,2,62,1,700,3,44,0,700,4,66,0,700,5,84,0,700,6,51,0,700,7,76,0,700,8,71,0,200,1,9,27,200,2,19,4,200,3,14,1,200,4,25,0,200,5,39,0,200,6,23,0,200,7,35,0,200,8,29,0,500,1,30,5,500,2,22,2,500,3,53,0,500,4,40,0,500,5,39,0,500,6,50,0,500,7,55,0,500,8,82,0
"V18",700,1,53,8,700,2,41,3,700,3,45,5,700,4,65,0,700,5,52,1,700,6,61,1,700,7,56,0,700,8,45,0,200,1,16,13,200,2,21,1,200,3,27,0,200,4,28,1,200,5,30,0,200,6,54,0,200,7,31,1,200,8,33,0,500,1,14,31,500,2,41,0,500,3,19,1,500,4,39,0,500,5,37,0,500,6,63,0,500,7,48,0,500,8,43,0
"V19",700,1,37,26,700,2,24,0,700,3,44,1,700,4,48,0,700,5,43,0,700,6,61,0,700,7,52,0,700,8,88,0,200,1,22,16,200,2,38,0,200,3,21,0,200,4,24,0,200,5,30,0,200,6,21,0,200,7,26,0,200,8,39,0,500,1,27,2,500,2,24,8,500,3,41,0,500,4,40,0,500,5,39,0,500,6,43,0,500,7,47,0,500,8,46,0
"V20",700,1,40,4,700,2,61,2,700,3,25,0,700,4,47,0,700,5,42,0,700,6,46,0,700,7,75,0,700,8,51,0,200,1,12,24,200,2,23,3,200,3,17,0,200,4,45,0,200,5,34,0,200,6,23,0,200,7,42,0,200,8,35,0,500,1,18,9,500,2,63,6,500,3,24,0,500,4,60,0,500,5,51,0,500,6,33,0,500,7,40,0,500,8,50,0
"V21",700,1,19,32,700,2,54,0,700,3,52,0,700,4,37,0,700,5,38,1,700,6,51,0,700,7,82,0,700,8,54,0,200,1,13,6,200,2,42,0,200,3,23,2,200,4,28,0,200,5,32,0,200,6,26,0,200,7,23,0,200,8,45,0,500,1,50,17,500,2,38,3,500,3,50,1,500,4,41,1,500,5,74,0,500,6,53,0,500,7,36,0,500,8,46,0
"V22",700,1,73,0,700,2,25,3,700,3,41,4,700,4,38,0,700,5,42,0,700,6,67,1,700,7,63,0,700,8,78,0,200,1,9,15,200,2,33,0,200,3,29,0,200,4,27,0,200,5,29,0,200,6,39,0,200,7,21,0,200,8,34,0,500,1,32,19,500,2,20,2,500,3,50,0,500,4,43,0,500,5,59,0,500,6,34,0,500,7,56,0,500,8,60,0
"V23",700,1,22,43,700,2,36,3,700,3,67,0,700,4,68,0,700,5,46,0,700,6,68,0,700,7,61,0,700,8,67,0,200,1,30,5,200,2,19,4,200,3,20,0,200,4,23,0,200,5,15,0,200,6,38,0,200,7,41,0,200,8,37,0,500,1,15,37,500,2,29,1,500,3,31,1,500,4,42,0,500,5,47,0,500,6,41,0,500,7,53,0,500,8,64,0
"V24",700,1,32,3,700,2,76,0,700,3,51,0,700,4,71,0,700,5,65,0,700,6,84,0,700,7,56,0,700,8,60,0,200,1,31,2,200,2,19,0,200,3,23,2,200,4,29,0,200,5,29,1,200,6,16,0,200,7,30,0,200,8,23,0,500,1,20,42,500,2,59,7,500,3,53,2,500,4,33,0,500,5,40,0,500,6,55,0,500,7,57,0,500,8,66,0
"V25",700,1,27,36,700,2,31,4,700,3,28,0,700,4,34,0,700,5,37,0,700,6,54,0,700,7,58,1,700,8,50,0,200,1,28,2,200,2,13,1,200,3,28,0,200,4,32,0,200,5,31,0,200,6,19,0,200,7,38,0,200,8,33,0,500,1,31,9,500,2,40,2,500,3,75,1,500,4,34,0,500,5,48,0,500,6,51,0,500,7,50,0,500,8,44,2
"V26",700,1,35,20,700,2,61,1,700,3,26,0,700,4,54,1,700,5,81,0,700,6,64,0,700,7,77,0,700,8,75,0,200,1,17,31,200,2,32,5,200,3,21,0,200,4,22,0,200,5,24,0,200,6,24,0,200,7,36,0,200,8,43,1,500,1,27,3,500,2,71,3,500,3,49,0,500,4,31,0,500,5,42,0,500,6,50,0,500,7,36,0,500,8,66,0
"V27",700,1,33,12,700,2,26,0,700,3,55,0,700,4,33,0,700,5,62,0,700,6,76,0,700,7,50,0,700,8,46,0,200,1,11,14,200,2,21,0,200,3,13,0,200,4,26,0,200,5,25,0,200,6,36,1,200,7,37,0,200,8,51,0,500,1,22,16,500,2,16,0,500,3,54,1,500,4,40,1,500,5,40,0,500,6,62,0,500,7,54,0,500,8,57,0
"V28",700,1,30,12,700,2,34,4,700,3,66,0,700,4,63,0,700,5,46,0,700,6,80,0,700,7,65,0,700,8,78,0,200,1,27,19,200,2,16,3,200,3,19,0,200,4,26,0,200,5,43,0,200,6,29,0,200,7,28,1,200,8,31,0,500,1,30,13,500,2,25,0,500,3,32,1,500,4,50,0,500,5,41,0,500,6,54,0,500,7,45,0,500,8,41,0
"V29",700,1,67,5,700,2,25,8,700,3,45,1,700,4,55,0,700,5,65,1,700,6,47,0,700,7,65,0,700,8,64,0,200,1,18,4,200,2,27,0,200,3,16,1,200,4,39,0,200,5,23,0,200,6,46,0,200,7,41,0,200,8,39,0,500,1,40,3,500,2,36,0,500,3,55,0,500,4,24,1,500,5,43,0,500,6,40,0,500,7,62,0,500,8,58,0
