"","Pasos","Dimension","Valor M","Tiempo"
"V681","50","2",11,0.00147795677185059
"V691","50","2",8,0.00142598152160645
"V701","50","2",12,0.00141716003417969
"V711","50","2",6,0.00143790245056152
"V721","50","2",9,0.0014951229095459
"V731","50","2",15,0.00154805183410645
"V741","50","2",7,0.00186395645141602
"V751","50","2",11,0.00174093246459961
"V761","50","2",12,0.00318288803100586
"V771","50","2",9,0.000800132751464844
"V781","50","2",13,0.00078892707824707
"V791","50","2",10,0.000935077667236328
"V801","50","2",7,0.00142598152160645
"V811","50","2",8,0.00141811370849609
"V821","50","2",12,0.00142097473144531
"V831","50","2",9,0.00139188766479492
"V841","50","2",9,0.0014500617980957
"V851","50","2",6,0.00142192840576172
"V861","50","2",7,0.0014030933380127
"V871","50","2",7,0.00140786170959473
"V881","50","2",7,0.00130105018615723
"V891","50","2",16,0.00139808654785156
"V901","50","2",6,0.00140380859375
"V911","50","2",7,0.0010678768157959
"V921","50","2",9,0.000803947448730469
"V931","50","2",9,0.00188994407653809
"V941","50","2",15,0.000800848007202148
"V951","50","2",16,0.000786066055297852
"V961","50","2",15,0.000905036926269531
"V971","50","2",11,0.000908136367797852
"V981","50","2",12,0.000812053680419922
"V991","50","2",7,0.00084996223449707
"V1001","50","2",6,0.000737905502319336
"V112","50","3",6,0.00147294998168945
"V212","50","3",13,0.00141620635986328
"V312","50","3",12,0.00142502784729004
"V412","50","3",19,0.00141000747680664
"V512","50","3",10,0.00159001350402832
"V612","50","3",7,0.00153493881225586
"V712","50","3",9,0.0010530948638916
"V812","50","3",14,0.00101804733276367
"V912","50","3",15,0.00102806091308594
"V102","50","3",12,0.00199198722839355
"V113","50","3",20,0.000794887542724609
"V122","50","3",9,0.00079798698425293
"V132","50","3",8,0.00166487693786621
"V142","50","3",10,0.000783920288085938
"V152","50","3",7,0.000787973403930664
"V162","50","3",20,0.00102615356445312
"V172","50","3",12,0.000790119171142578
"V182","50","3",14,0.000787973403930664
"V192","50","3",8,0.000793933868408203
"V202","50","3",19,0.000800132751464844
"V213","50","3",12,0.000795125961303711
"V222","50","3",11,0.00116991996765137
"V232","50","3",9,0.00141191482543945
"V242","50","3",22,0.0014030933380127
"V252","50","3",6,0.00139689445495605
"V262","50","3",13,0.00141692161560059
"V272","50","3",11,0.00188112258911133
"V282","50","3",8,0.00137686729431152
"V292","50","3",10,0.0013740062713623
"V302","50","3",12,0.00138401985168457
"V313","50","3",18,0.00137805938720703
"V322","50","3",11,0.00138616561889648
"V332","50","3",11,0.000993967056274414
"V342","50","3",17,0.00112199783325195
"V352","50","3",8,0.00080108642578125
"V362","50","3",10,0.000792980194091797
"V372","50","3",9,0.000793218612670898
"V382","50","3",9,0.000798940658569336
"V392","50","3",11,0.000798225402832031
"V402","50","3",13,0.00147390365600586
"V413","50","3",12,0.00364398956298828
"V422","50","3",13,0.00141811370849609
"V432","50","3",14,0.00142884254455566
"V442","50","3",6,0.00136303901672363
"V452","50","3",10,0.00134706497192383
"V462","50","3",8,0.00117897987365723
"V472","50","3",15,0.00145316123962402
"V482","50","3",13,0.00141787528991699
"V492","50","3",10,0.00141286849975586
"V502","50","3",12,0.00143313407897949
"V513","50","3",10,0.00141310691833496
"V522","50","3",15,0.000818014144897461
"V532","50","3",19,0.000798940658569336
"V542","50","3",19,0.000815868377685547
"V552","50","3",11,0.000798940658569336
"V562","50","3",6,0.000796079635620117
"V572","50","3",8,0.000837087631225586
"V582","50","3",13,0.00242304801940918
"V592","50","3",8,0.00123310089111328
"V602","50","3",7,0.000799179077148438
"V613","50","3",7,0.000782012939453125
"V622","50","3",9,0.000797033309936523
"V632","50","3",14,0.000783920288085938
"V642","50","3",18,0.000808000564575195
"V652","50","3",10,0.000799894332885742
"V662","50","3",5,0.000782012939453125
"V672","50","3",13,0.000840187072753906
"V682","50","3",16,0.00143599510192871
"V692","50","3",12,0.00140690803527832
"V702","50","3",13,0.00141501426696777
"V713","50","3",12,0.00145888328552246
"V722","50","3",14,0.00139307975769043
"V732","50","3",11,0.00121402740478516
"V742","50","3",13,0.0014190673828125
"V752","50","3",22,0.00142002105712891
"V762","50","3",19,0.0014491081237793
"V772","50","3",16,0.00289201736450195
"V782","50","3",17,0.00142598152160645
"V792","50","3",10,0.00145506858825684
"V802","50","3",15,0.00142002105712891
"V813","50","3",12,0.00141000747680664
"V822","50","3",16,0.00143885612487793
"V832","50","3",17,0.0014500617980957
"V842","50","3",10,0.00137996673583984
"V852","50","3",14,0.0013880729675293
"V862","50","3",16,0.00142502784729004
"V872","50","3",17,0.00145888328552246
"V882","50","3",7,0.00142717361450195
"V892","50","3",13,0.00139117240905762
"V902","50","3",12,0.00138306617736816
"V913","50","3",12,0.00139999389648438
"V922","50","3",12,0.00136804580688477
"V932","50","3",11,0.00142312049865723
"V942","50","3",11,0.00200200080871582
"V952","50","3",22,0.000758171081542969
"V962","50","3",16,0.000752925872802734
"V972","50","3",9,0.000750064849853516
"V982","50","3",11,0.000900983810424805
"V992","50","3",7,0.000967025756835938
"V1002","50","3",10,0.000951051712036133
"V114","50","4",14,0.00156497955322266
"V214","50","4",11,0.00139498710632324
"V314","50","4",11,0.00142002105712891
"V414","50","4",13,0.00142812728881836
"V514","50","4",22,0.00155496597290039
"V614","50","4",11,0.0011751651763916
"V714","50","4",18,0.00208902359008789
"V814","50","4",11,0.00192999839782715
"V914","50","4",18,0.00170612335205078
"V103","50","4",18,0.00364303588867188
"V115","50","4",15,0.00139498710632324
"V123","50","4",10,0.00137686729431152
"V133","50","4",11,0.00138282775878906
"V143","50","4",15,0.00140595436096191
"V153","50","4",12,0.00138306617736816
"V163","50","4",9,0.000802040100097656
"V173","50","4",10,0.000802993774414062
"V183","50","4",13,0.000791072845458984
"V193","50","4",12,0.000792026519775391
"V203","50","4",14,0.000826835632324219
"V215","50","4",12,0.000992059707641602
"V223","50","4",15,0.000787019729614258
"V233","50","4",19,0.000802040100097656
"V243","50","4",20,0.00109195709228516
"V253","50","4",17,0.00137209892272949
"V263","50","4",8,0.00137901306152344
"V273","50","4",10,0.00284600257873535
"V283","50","4",18,0.000804901123046875
"V293","50","4",14,0.000783205032348633
"V303","50","4",12,0.000807046890258789
"V315","50","4",16,0.000787973403930664
"V323","50","4",18,0.000778913497924805
"V333","50","4",8,0.000793933868408203
"V343","50","4",11,0.00105500221252441
"V353","50","4",7,0.000795841217041016
"V363","50","4",15,0.000795841217041016
"V373","50","4",13,0.00080108642578125
"V383","50","4",13,0.00079798698425293
"V393","50","4",12,0.0010230541229248
"V403","50","4",18,0.00193691253662109
"V415","50","4",14,0.00150799751281738
"V423","50","4",16,0.00181221961975098
"V433","50","4",12,0.00162100791931152
"V443","50","4",15,0.000814914703369141
"V453","50","4",9,0.000931978225708008
"V463","50","4",28,0.000799894332885742
"V473","50","4",12,0.000795125961303711
"V483","50","4",12,0.00117206573486328
"V493","50","4",7,0.00142288208007812
"V503","50","4",12,0.00141000747680664
"V515","50","4",11,0.0013890266418457
"V523","50","4",7,0.00137090682983398
"V533","50","4",14,0.00139284133911133
"V543","50","4",9,0.00145506858825684
"V553","50","4",15,0.000864028930664062
"V563","50","4",13,0.000799894332885742
"V573","50","4",14,0.00189495086669922
"V583","50","4",16,0.000802993774414062
"V593","50","4",8,0.000783920288085938
"V603","50","4",6,0.00078892707824707
"V615","50","4",19,0.00084686279296875
"V623","50","4",9,0.000802993774414062
"V633","50","4",11,0.00080108642578125
"V643","50","4",17,0.000794887542724609
"V653","50","4",11,0.000779867172241211
"V663","50","4",14,0.00077509880065918
"V673","50","4",8,0.000974893569946289
"V683","50","4",25,0.00143289566040039
"V693","50","4",14,0.00141406059265137
"V703","50","4",17,0.00141406059265137
"V715","50","4",14,0.00142598152160645
"V723","50","4",17,0.00146794319152832
"V733","50","4",18,0.00262904167175293
"V743","50","4",14,0.00157999992370605
"V753","50","4",13,0.00148606300354004
"V763","50","4",13,0.00146389007568359
"V773","50","4",18,0.00242114067077637
"V783","50","4",7,0.000905036926269531
"V793","50","4",13,0.000789880752563477
"V803","50","4",10,0.000793933868408203
"V815","50","4",8,0.000787019729614258
"V823","50","4",8,0.000781774520874023
"V833","50","4",17,0.000794887542724609
"V843","50","4",11,0.000795125961303711
"V853","50","4",12,0.000789880752563477
"V863","50","4",19,0.000807046890258789
"V873","50","4",15,0.00926089286804199
"V883","50","4",11,0.00139212608337402
"V893","50","4",14,0.00137782096862793
"V903","50","4",20,0.0013580322265625
"V915","50","4",14,0.00115680694580078
"V923","50","4",12,0.000800132751464844
"V933","50","4",15,0.000807046890258789
"V943","50","4",11,0.00189900398254395
"V953","50","4",11,0.000808000564575195
"V963","50","4",12,0.000790119171142578
"V973","50","4",20,0.00146698951721191
"V983","50","4",9,0.00162315368652344
"V993","50","4",12,0.00136613845825195
"V1003","50","4",17,0.00136899948120117
"V116","50","5",18,0.00141596794128418
"V216","50","5",15,0.000802040100097656
"V316","50","5",22,0.000802993774414062
"V416","50","5",15,0.000818967819213867
"V516","50","5",16,0.000805139541625977
"V616","50","5",14,0.000792026519775391
"V716","50","5",16,0.000821113586425781
"V816","50","5",12,0.000954151153564453
"V916","50","5",17,0.0011899471282959
"V104","50","5",14,0.000829935073852539
"V117","50","5",12,0.00198793411254883
"V124","50","5",12,0.000799894332885742
"V134","50","5",16,0.000792980194091797
"V144","50","5",17,0.000784158706665039
"V154","50","5",16,0.000797033309936523
"V164","50","5",15,0.000782012939453125
"V174","50","5",16,0.000810861587524414
"V184","50","5",16,0.00131988525390625
"V194","50","5",11,0.00139284133911133
"V204","50","5",12,0.00161385536193848
"V217","50","5",10,0.00143885612487793
"V224","50","5",16,0.00140500068664551
"V234","50","5",15,0.00137901306152344
"V244","50","5",18,0.000816106796264648
"V254","50","5",22,0.000811100006103516
"V264","50","5",16,0.000803947448730469
"V274","50","5",20,0.00253796577453613
"V284","50","5",16,0.00136303901672363
"V294","50","5",24,0.00152397155761719
"V304","50","5",12,0.000818967819213867
"V317","50","5",24,0.000798940658569336
"V324","50","5",12,0.00106191635131836
"V334","50","5",15,0.00140905380249023
"V344","50","5",13,0.00127601623535156
"V354","50","5",20,0.00144386291503906
"V364","50","5",13,0.0014350414276123
"V374","50","5",12,0.00147199630737305
"V384","50","5",16,0.00143790245056152
"V394","50","5",18,0.00139999389648438
"V404","50","5",18,0.00207304954528809
"V417","50","5",10,0.0013430118560791
"V424","50","5",14,0.00141692161560059
"V434","50","5",13,0.00139498710632324
"V444","50","5",16,0.00152182579040527
"V454","50","5",14,0.00139784812927246
"V464","50","5",12,0.00162100791931152
"V474","50","5",14,0.00141501426696777
"V484","50","5",11,0.00139594078063965
"V494","50","5",13,0.00138211250305176
"V504","50","5",10,0.00149393081665039
"V517","50","5",14,0.00143098831176758
"V524","50","5",10,0.000877141952514648
"V534","50","5",14,0.00143289566040039
"V544","50","5",18,0.00136303901672363
"V554","50","5",19,0.00100183486938477
"V564","50","5",13,0.00488495826721191
"V574","50","5",14,0.000813961029052734
"V584","50","5",12,0.000790119171142578
"V594","50","5",9,0.00100207328796387
"V604","50","5",12,0.000803947448730469
"V617","50","5",19,0.000792980194091797
"V624","50","5",19,0.000804901123046875
"V634","50","5",12,0.000796079635620117
"V644","50","5",13,0.00078892707824707
"V654","50","5",10,0.000792980194091797
"V664","50","5",13,0.000816822052001953
"V674","50","5",16,0.00112104415893555
"V684","50","5",11,0.00144314765930176
"V694","50","5",13,0.00143599510192871
"V704","50","5",15,0.00145292282104492
"V717","50","5",16,0.00144314765930176
"V724","50","5",18,0.00132989883422852
"V734","50","5",14,0.00424289703369141
"V744","50","5",13,0.00141787528991699
"V754","50","5",14,0.00140714645385742
"V764","50","5",18,0.00141096115112305
"V774","50","5",21,0.00157999992370605
"V784","50","5",22,0.00275087356567383
"V794","50","5",10,0.000838041305541992
"V804","50","5",13,0.000805139541625977
"V817","50","5",7,0.000792980194091797
"V824","50","5",24,0.00079798698425293
"V834","50","5",12,0.000844001770019531
"V844","50","5",20,0.00146198272705078
"V854","50","5",14,0.00253605842590332
"V864","50","5",14,0.00106000900268555
"V874","50","5",18,0.000889778137207031
"V884","50","5",18,0.00124216079711914
"V894","50","5",16,0.00123310089111328
"V904","50","5",19,0.000816822052001953
"V917","50","5",14,0.00082707405090332
"V924","50","5",12,0.00141716003417969
"V934","50","5",14,0.0010230541229248
"V944","50","5",16,0.00235295295715332
"V954","50","5",11,0.000812053680419922
"V964","50","5",15,0.000835895538330078
"V974","50","5",11,0.00078582763671875
"V984","50","5",16,0.000791072845458984
"V994","50","5",13,0.000792026519775391
"V1004","50","5",12,0.000818014144897461
"V118","50","6",14,0.00123214721679688
"V218","50","6",24,0.000802040100097656
"V318","50","6",19,0.000811100006103516
"V418","50","6",18,0.000818967819213867
"V518","50","6",18,0.00137186050415039
"V618","50","6",10,0.00140213966369629
"V718","50","6",20,0.00140190124511719
"V818","50","6",15,0.00101685523986816
"V918","50","6",25,0.000803947448730469
"V105","50","6",19,0.00080418586730957
"V119","50","6",14,0.0032501220703125
"V125","50","6",13,0.0013730525970459
"V135","50","6",15,0.00139594078063965
"V145","50","6",15,0.00136494636535645
"V155","50","6",16,0.00135493278503418
"V165","50","6",18,0.0013887882232666
"V175","50","6",17,0.00140786170959473
"V185","50","6",17,0.00136208534240723
"V195","50","6",12,0.0014958381652832
"V205","50","6",20,0.00147509574890137
"V219","50","6",18,0.00110912322998047
