"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32"
"X50",50,50,50,50,50,50,50,50,80,80,80,80,80,80,80,80,150,150,150,150,150,150,150,150,200,200,200,200,200,200,200,200
"X1",1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8
"X8",8,12,12,24,14,12,12,24,5,11,17,10,18,19,23,19,25,17,19,24,30,22,28,32,10,17,16,38,41,31,22,27
"X0.000778913497924805",0.000778913497924805,0.00119590759277344,0.000864982604980469,0.000792980194091797,0.000916004180908203,0.000800848007202148,0.00133514404296875,0.00152087211608887,0.00119495391845703,0.00124001502990723,0.00158500671386719,0.00144815444946289,0.00140500068664551,0.00208401679992676,0.00146818161010742,0.00697517395019531,0.0079798698425293,0.00268006324768066,0.0028078556060791,0.00336599349975586,0.00265097618103027,0.00240993499755859,0.00313591957092285,0.00395298004150391,0.00296187400817871,0.00367188453674316,0.00398707389831543,0.00358486175537109,0.00588798522949219,0.00489997863769531,0.00291204452514648,0.00508999824523926
