"","Pasos","Dimension","Valor M","Tiempo"
"1","500","1",40,0.00916504859924316
"2","500","1",15,0.0117158889770508
"3","500","1",31,0.0120780467987061
"4","500","1",24,0.0117580890655518
"5","500","1",18,0.00772190093994141
"6","500","1",16,0.0167820453643799
"7","500","1",18,0.00827813148498535
"8","500","1",28,0.0129549503326416
"9","500","1",37,0.0101809501647949
"10","500","1",75,0.0111100673675537
"11","500","1",34,0.00811290740966797
"12","500","1",19,0.00813102722167969
"13","500","1",35,0.0135068893432617
"14","500","1",35,0.0128219127655029
"15","500","1",18,0.00754308700561523
"16","500","1",26,0.0104961395263672
"17","500","1",32,0.0143988132476807
"18","500","1",42,0.00892210006713867
"19","500","1",32,0.0075829029083252
"20","500","1",28,0.0075991153717041
"21","500","1",60,0.00768280029296875
"22","500","1",56,0.0161161422729492
"23","500","1",21,0.00795316696166992
"24","500","1",43,0.00763607025146484
"25","500","1",44,0.00755214691162109
"26","500","1",30,0.00808501243591309
"27","500","1",19,0.00772595405578613
"28","500","1",12,0.0116238594055176
"29","500","1",16,0.00789594650268555
"30","500","1",34,0.0164890289306641
"31","500","1",10,0.0078589916229248
"32","500","1",21,0.00818800926208496
"33","500","1",27,0.0082859992980957
"34","500","1",33,0.00813198089599609
"35","500","1",34,0.00778508186340332
"36","500","1",27,0.00986194610595703
"37","500","1",21,0.0107860565185547
"38","500","1",35,0.0150179862976074
"39","500","1",18,0.010383129119873
"40","500","1",18,0.00762104988098145
"41","500","1",14,0.00761008262634277
"42","500","1",39,0.0118520259857178
"43","500","1",16,0.013765811920166
"44","500","1",19,0.00786113739013672
"45","500","1",58,0.00781488418579102
"46","500","1",39,0.016808032989502
"47","500","1",38,0.00833892822265625
"48","500","1",14,0.00778079032897949
"49","500","1",21,0.00817990303039551
"50","500","1",31,0.00774002075195312
"51","500","1",38,0.00843620300292969
"52","500","1",48,0.00807404518127441
"53","500","1",33,0.00982999801635742
"54","500","1",27,0.0125038623809814
"55","500","1",22,0.00846600532531738
"56","500","1",12,0.00899910926818848
"57","500","1",21,0.00819993019104004
"58","500","1",17,0.0107748508453369
"59","500","1",48,0.00900506973266602
"60","500","1",23,0.00880813598632812
"61","500","1",20,0.0142021179199219
"62","500","1",56,0.0143029689788818
"63","500","1",24,0.00820708274841309
"64","500","1",27,0.00975584983825684
"65","500","1",35,0.0080101490020752
"66","500","1",53,0.0117177963256836
"67","500","1",18,0.0103049278259277
"68","500","1",29,0.0103428363800049
"69","500","1",15,0.00871181488037109
"70","500","1",11,0.00922894477844238
"71","500","1",23,0.017751932144165
"72","500","1",17,0.0086669921875
"73","500","1",27,0.00880885124206543
"74","500","1",33,0.00873517990112305
"75","500","1",44,0.00853896141052246
"76","500","1",42,0.00864291191101074
"77","500","1",20,0.00887084007263184
"78","500","1",32,0.00841498374938965
"79","500","1",20,0.012362003326416
"80","500","1",24,0.00809717178344727
"81","500","1",14,0.00917792320251465
"82","500","1",27,0.0129768848419189
"83","500","1",21,0.0081789493560791
"84","500","1",14,0.00820112228393555
"85","500","1",24,0.00801301002502441
"86","500","1",18,0.00820207595825195
"87","500","1",41,0.0125589370727539
"88","500","1",38,0.0102260112762451
"89","500","1",18,0.0100040435791016
"90","500","1",40,0.00793099403381348
"91","500","1",31,0.00799703598022461
"92","500","1",21,0.00784683227539062
"93","500","1",23,0.00813412666320801
"94","500","1",36,0.00785684585571289
"95","500","1",23,0.0152499675750732
"96","500","1",53,0.00907492637634277
"97","500","1",27,0.00868511199951172
"98","500","1",26,0.00809001922607422
"99","500","1",30,0.00770998001098633
"100","500","1",30,0.010267972946167
"101","500","2",38,0.00943899154663086
"102","500","2",46,0.00811314582824707
"103","500","2",26,0.0173599720001221
"104","500","2",29,0.00796914100646973
"105","500","2",26,0.00783205032348633
"106","500","2",38,0.00936603546142578
"107","500","2",30,0.0114572048187256
"108","500","2",35,0.00788497924804688
"109","500","2",26,0.00786304473876953
"110","500","2",26,0.0114450454711914
"111","500","2",37,0.0123031139373779
"112","500","2",36,0.00778007507324219
"113","500","2",34,0.0128700733184814
"114","500","2",29,0.00798201560974121
"115","500","2",31,0.0076451301574707
"116","500","2",28,0.0115969181060791
"117","500","2",19,0.0102870464324951
"118","500","2",32,0.00851202011108398
"119","500","2",36,0.0135090351104736
"120","500","2",44,0.014840841293335
"121","500","2",62,0.010300874710083
"122","500","2",40,0.00803494453430176
"123","500","2",18,0.00814390182495117
