"","Población","Tiempos","Tipo"
"1",20,0.297017097473145,"Paralelo"
"2",20,0.239013910293579,"Paralelo"
"3",20,0.284015893936157,"Paralelo"
"4",20,0.234013080596924,"Paralelo"
"5",20,0.281016111373901,"Paralelo"
"6",50,0.369021892547607,"Paralelo"
"7",50,0.362020015716553,"Paralelo"
"8",50,0.347020149230957,"Paralelo"
"9",50,0.3280189037323,"Paralelo"
"10",50,0.348020076751709,"Paralelo"
"11",100,0.495028018951416,"Paralelo"
"12",100,0.504028797149658,"Paralelo"
"13",100,0.480027198791504,"Paralelo"
"14",100,0.502028942108154,"Paralelo"
"15",100,0.475026845932007,"Paralelo"
"16",200,0.81104588508606,"Paralelo"
"17",200,1.00905799865723,"Paralelo"
"18",200,0.786044836044312,"Paralelo"
"19",200,0.789045095443726,"Paralelo"
"20",200,0.784044981002808,"Paralelo"
"21",350,1.31807518005371,"Paralelo"
"22",350,1.2910737991333,"Paralelo"
"23",350,1.3540780544281,"Paralelo"
"24",350,1.22106909751892,"Paralelo"
"25",350,1.21606993675232,"Paralelo"
"26",400,1.50408601760864,"Paralelo"
"27",400,1.52608704566956,"Paralelo"
"28",400,1.48108506202698,"Paralelo"
"29",400,1.47808384895325,"Paralelo"
"30",400,1.34007692337036,"Paralelo"
