"","Valor","Diferencia","Tipo"
"1",6197.21851982625,0.225891947577574,"Probabilidad"
"2",6361.50710145293,0.205370303302581,"Probabilidad"
"3",6743.79997238524,0.157617268804019,"Probabilidad"
"4",6743.79997238524,0.157617268804019,"Probabilidad"
"5",6991.97546259092,0.126617128213933,"Probabilidad"
"6",6991.97546259092,0.126617128213933,"Probabilidad"
"7",6991.97546259092,0.126617128213933,"Probabilidad"
"8",6991.97546259092,0.126617128213933,"Probabilidad"
"9",7060.129249005,0.118103890428718,"Probabilidad"
"10",7060.129249005,0.118103890428718,"Probabilidad"
"11",7060.129249005,0.118103890428718,"Probabilidad"
"12",7060.129249005,0.118103890428718,"Probabilidad"
"13",7060.129249005,0.118103890428718,"Probabilidad"
"14",7060.129249005,0.118103890428718,"Probabilidad"
"15",7060.129249005,0.118103890428718,"Probabilidad"
"16",7060.129249005,0.118103890428718,"Probabilidad"
"17",7060.129249005,0.118103890428718,"Probabilidad"
"18",7060.129249005,0.118103890428718,"Probabilidad"
"19",7060.129249005,0.118103890428718,"Probabilidad"
"20",7060.129249005,0.118103890428718,"Probabilidad"
"21",7060.129249005,0.118103890428718,"Probabilidad"
"22",7060.129249005,0.118103890428718,"Probabilidad"
"23",7060.129249005,0.118103890428718,"Probabilidad"
"24",7060.129249005,0.118103890428718,"Probabilidad"
"25",7060.129249005,0.118103890428718,"Probabilidad"
"26",7060.129249005,0.118103890428718,"Probabilidad"
"27",7060.129249005,0.118103890428718,"Probabilidad"
"28",7060.129249005,0.118103890428718,"Probabilidad"
"29",7060.129249005,0.118103890428718,"Probabilidad"
"30",7060.129249005,0.118103890428718,"Probabilidad"
"31",7024.05890750964,0.122609515285395,"Probabilidad"
"32",7024.05890750964,0.122609515285395,"Probabilidad"
"33",7111.82034173182,0.111647043540017,"Probabilidad"
"34",7111.82034173182,0.111647043540017,"Probabilidad"
"35",7111.82034173182,0.111647043540017,"Probabilidad"
"36",7111.82034173182,0.111647043540017,"Probabilidad"
"37",7008.4329321603,0.124561389873354,"Probabilidad"
"38",7008.4329321603,0.124561389873354,"Probabilidad"
"39",7008.4329321603,0.124561389873354,"Probabilidad"
"40",7008.4329321603,0.124561389873354,"Probabilidad"
"41",7008.4329321603,0.124561389873354,"Probabilidad"
"42",7008.4329321603,0.124561389873354,"Probabilidad"
"43",7147.43991858045,0.107197724676369,"Probabilidad"
"44",7147.43991858045,0.107197724676369,"Probabilidad"
"45",7147.43991858045,0.107197724676369,"Probabilidad"
"46",7147.43991858045,0.107197724676369,"Probabilidad"
"47",7147.43991858045,0.107197724676369,"Probabilidad"
"48",7147.43991858045,0.107197724676369,"Probabilidad"
"49",7147.43991858045,0.107197724676369,"Probabilidad"
"50",7147.43991858045,0.107197724676369,"Probabilidad"
"51",7147.43991858045,0.107197724676369,"Probabilidad"
"52",7147.43991858045,0.107197724676369,"Probabilidad"
"53",7147.43991858045,0.107197724676369,"Probabilidad"
"54",7147.43991858045,0.107197724676369,"Probabilidad"
"55",7147.43991858045,0.107197724676369,"Probabilidad"
"56",7147.43991858045,0.107197724676369,"Probabilidad"
"57",7147.43991858045,0.107197724676369,"Probabilidad"
"58",6889.71866434391,0.139390247426158,"Probabilidad"
"59",6889.71866434391,0.139390247426158,"Probabilidad"
"60",6954.47380464364,0.131301541923617,"Probabilidad"
"61",7056.1642497345,0.118599167116691,"Probabilidad"
"62",7056.1642497345,0.118599167116691,"Probabilidad"
"63",7056.1642497345,0.118599167116691,"Probabilidad"
"64",7056.1642497345,0.118599167116691,"Probabilidad"
"65",7056.1642497345,0.118599167116691,"Probabilidad"
"66",7056.1642497345,0.118599167116691,"Probabilidad"
"67",7056.1642497345,0.118599167116691,"Probabilidad"
"68",7056.1642497345,0.118599167116691,"Probabilidad"
"69",7056.1642497345,0.118599167116691,"Probabilidad"
"70",7056.1642497345,0.118599167116691,"Probabilidad"
